   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,         center_crop,             anchors
             0.66303,             0.58369,             0.55096,             0.22624,            0.049593,          0.00098663,                   0,               0.001,                 0.2,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                0.25,                   1,                 0.5,                   1,                 0.2,                   4,                   0,                 0.1,                 0.3,                 0.5,                 0.2,                   0,                 0.4,                   0,                   0,                   0,                 0.5,                   1,                 0.2,                 0.1,                   1,                   3
             0.72033,             0.66524,             0.63855,              0.2624,            0.047346,          0.00096662,                   0,             0.00066,             0.22561,             0.97316,             0.00043,                   3,             0.81653,                 0.1,                0.05,             0.26031,              1.0482,                 0.5,              1.0795,                 0.2,                   4,                   0,             0.09494,             0.32319,             0.47665,             0.18141,                   0,             0.35647,                   0,                   0,                   0,                 0.5,                   1,                 0.2,             0.11471,                   1,               4.054
             0.73479,             0.67778,             0.64796,             0.26357,            0.048301,          0.00099128,                   0,             0.00066,             0.22652,             0.97316,             0.00043,              2.9918,             0.81821,             0.10074,             0.05019,             0.26037,              1.0536,             0.49619,              1.0788,                 0.2,                   4,                   0,             0.09524,             0.32395,             0.47569,              0.1816,                   0,             0.35537,                   0,                   0,                   0,                 0.5,                   1,             0.19906,             0.11412,                   1,               4.054
             0.74217,              0.6177,             0.64469,             0.25259,            0.042741,           0.0010219,                   0,             0.00069,             0.23042,             0.97316,             0.00045,              3.0831,             0.83781,             0.10398,             0.04663,             0.26031,              1.0482,                 0.5,              1.0866,                 0.2,              3.7791,                   0,             0.09494,             0.32319,             0.49167,             0.17967,                   0,             0.39749,                   0,                   0,                   0,                 0.5,             0.93111,             0.20107,             0.10742,                   1,              3.4019
             0.73518,             0.65236,             0.64813,             0.27803,            0.043933,          0.00092529,                   0,             0.00069,             0.22807,             0.96891,             0.00049,              3.3538,              0.8503,             0.10398,             0.04773,             0.26031,              1.0482,             0.47168,              1.0866,                 0.2,              3.7834,                   0,                 0.1,             0.29302,             0.49707,             0.16914,                   0,             0.40026,                   0,                   0,                   0,                 0.5,             0.87266,             0.20647,             0.10725,                   1,              3.5331
             0.70526,             0.66094,             0.64588,             0.25033,            0.043074,           0.0010311,                   0,             0.00069,             0.23042,             0.97913,             0.00046,              3.0309,               0.845,             0.10478,             0.04558,             0.25879,              1.0208,             0.51155,              1.0633,                 0.2,              4.0412,                   0,             0.09494,             0.34335,             0.48614,              0.1782,                   0,             0.40271,                   0,                   0,                   0,                 0.5,             0.98491,             0.20357,             0.10797,                   1,               3.531
             0.65772,             0.65152,             0.59986,             0.21981,            0.040206,           0.0011794,                   0,             0.00061,              0.2867,                0.98,             0.00043,              3.3115,             0.74799,             0.09331,             0.04116,             0.26283,              1.0573,             0.55287,              1.1618,                 0.2,              4.0576,                   0,               0.091,             0.30404,             0.46969,             0.17597,                   0,             0.43006,                   0,                   0,                   0,                 0.5,             0.95751,             0.20224,             0.12318,                   1,               4.054
             0.69601,             0.60924,             0.62684,             0.25837,            0.054525,           0.0010235,                   0,             0.00078,             0.22561,                0.98,             0.00031,              2.7295,               0.803,             0.11042,             0.05705,             0.30258,             0.97333,             0.50772,              1.0489,                 0.2,              4.0264,                   0,              0.0885,             0.33094,             0.53183,               0.171,                   0,             0.34198,                   0,                   0,                   0,                 0.5,             0.96363,             0.16657,             0.11855,                   1,              3.8771
             0.70851,             0.69957,             0.67194,             0.27173,            0.038928,          0.00091269,                   0,             0.00078,             0.22803,             0.89618,             0.00027,              2.4979,                0.95,             0.08508,             0.04194,              0.2705,              1.2947,             0.50772,             0.85491,                 0.2,              4.2633,                   0,                 0.1,              0.3873,             0.45393,             0.17929,                   0,             0.39021,                   0,                   0,                   0,                 0.5,             0.75715,             0.24151,             0.10024,                   1,              2.7183
             0.66035,             0.62661,             0.60681,             0.25782,            0.043244,             0.00103,                   0,             0.00069,             0.21513,                0.98,             0.00045,                   3,             0.80395,             0.10062,              0.0456,             0.25118,              1.0482,             0.49596,              1.1107,                 0.2,               4.041,                   0,             0.09937,             0.31608,             0.47817,             0.18737,                   0,             0.35647,                   0,                   0,                   0,                 0.5,             0.93315,             0.19698,             0.12074,                   1,               4.054
