               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08141,           0.0030851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000246,            0.000246,            0.075646
                   1,            0.062915,           0.0031478,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00049261,          0.00049261,            0.051193
                   2,             0.05811,           0.0027884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00073767,          0.00073767,            0.026738
                   3,            0.055583,           0.0025038,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00098001,          0.00098001,             0.00228
                   4,            0.054583,           0.0023719,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00098743,          0.00098743,          0.00098743
                   5,            0.054063,           0.0022545,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00098743,          0.00098743,          0.00098743
                   6,            0.052217,           0.0022316,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00098042,          0.00098042,          0.00098042
                   7,            0.052769,           0.0021243,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00097191,          0.00097191,          0.00097191
                   8,            0.050935,           0.0020231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00096193,          0.00096193,          0.00096193
                   9,            0.051866,           0.0020321,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00095052,          0.00095052,          0.00095052
                  10,            0.050932,           0.0020352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00093773,          0.00093773,          0.00093773
                  11,            0.050285,           0.0019729,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00092361,          0.00092361,          0.00092361
                  12,            0.049435,           0.0018838,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00090821,          0.00090821,          0.00090821
                  13,            0.049162,           0.0019248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00089159,          0.00089159,          0.00089159
                  14,            0.049207,           0.0019375,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087382,          0.00087382,          0.00087382
                  15,            0.048641,           0.0018328,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00085497,          0.00085497,          0.00085497
                  16,            0.047954,           0.0018091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00083511,          0.00083511,          0.00083511
                  17,            0.047903,           0.0018717,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00081433,          0.00081433,          0.00081433
                  18,            0.047199,           0.0018036,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007927,           0.0007927,           0.0007927
                  19,            0.047763,           0.0018569,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00077031,          0.00077031,          0.00077031
                  20,            0.047138,           0.0018315,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00074725,          0.00074725,          0.00074725
                  21,            0.046265,           0.0017513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00072361,          0.00072361,          0.00072361
                  22,            0.045826,           0.0017572,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00069948,          0.00069948,          0.00069948
                  23,            0.044921,           0.0017464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00067495,          0.00067495,          0.00067495
                  24,            0.045039,             0.00178,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065013,          0.00065013,          0.00065013
                  25,            0.044932,           0.0017375,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00062512,          0.00062512,          0.00062512
                  26,            0.045465,           0.0016777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0006,              0.0006,              0.0006
                  27,            0.044575,            0.001733,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00057488,          0.00057488,          0.00057488
                  28,            0.044012,           0.0016845,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00054987,          0.00054987,          0.00054987
                  29,            0.043437,           0.0016974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052505,          0.00052505,          0.00052505
                  30,            0.044663,           0.0016935,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00050052,          0.00050052,          0.00050052
                  31,            0.044553,           0.0017126,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00047639,          0.00047639,          0.00047639
                  32,            0.042775,            0.001667,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00045275,          0.00045275,          0.00045275
                  33,            0.042064,           0.0016738,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00042969,          0.00042969,          0.00042969
                  34,            0.042823,           0.0016476,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004073,           0.0004073,           0.0004073
                  35,             0.04217,           0.0016839,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038567,          0.00038567,          0.00038567
                  36,             0.04137,           0.0016035,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00036489,          0.00036489,          0.00036489
                  37,            0.041081,           0.0016586,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00034503,          0.00034503,          0.00034503
                  38,            0.040899,           0.0015993,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00032618,          0.00032618,          0.00032618
                  39,            0.041293,            0.001561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00030841,          0.00030841,          0.00030841
                  40,            0.041104,           0.0016054,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00029179,          0.00029179,          0.00029179
                  41,            0.040097,           0.0015937,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00027639,          0.00027639,          0.00027639
                  42,            0.040561,           0.0015891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00026227,          0.00026227,          0.00026227
                  43,            0.040023,           0.0015506,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00024948,          0.00024948,          0.00024948
                  44,            0.040706,           0.0016206,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00023807,          0.00023807,          0.00023807
                  45,            0.038401,           0.0015128,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022809,          0.00022809,          0.00022809
                  46,            0.039284,           0.0015506,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00021958,          0.00021958,          0.00021958
                  47,             0.03844,           0.0015419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00021257,          0.00021257,          0.00021257
                  48,            0.038877,           0.0015422,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00020709,          0.00020709,          0.00020709
                  49,            0.038883,           0.0015174,                   0,             0.66303,             0.58369,             0.55096,             0.22624,            0.049593,          0.00098663,                   0,          0.00020315,          0.00020315,          0.00020315
                   0,            0.085195,           0.0032262,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016236,          0.00016236,            0.075562
                   0,            0.085195,           0.0032262,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016236,          0.00016236,            0.075562
                   1,            0.063975,           0.0037166,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00032513,          0.00032513,            0.051025
                   1,            0.063975,           0.0037166,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00032513,          0.00032513,            0.051025
                   2,            0.059011,            0.003307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00048691,          0.00048691,            0.026487
                   2,            0.059011,            0.003307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00048691,          0.00048691,            0.026487
                   3,             0.05682,           0.0029877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064695,          0.00064695,            0.001947
                   3,             0.05682,           0.0029877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064695,          0.00064695,            0.001947
                   4,            0.054952,           0.0027099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065197,          0.00065197,          0.00065197
                   4,            0.054952,           0.0027099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065197,          0.00065197,          0.00065197
                   5,            0.053925,           0.0025931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065197,          0.00065197,          0.00065197
                   5,            0.053925,           0.0025931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00065197,          0.00065197,          0.00065197
                   6,            0.051605,           0.0024001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064749,          0.00064749,          0.00064749
                   6,            0.051605,           0.0024001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064749,          0.00064749,          0.00064749
                   7,            0.051188,           0.0022495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064205,          0.00064205,          0.00064205
                   7,            0.051188,           0.0022495,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00064205,          0.00064205,          0.00064205
                   8,            0.051553,           0.0021652,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00063568,          0.00063568,          0.00063568
                   8,            0.051553,           0.0021652,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00063568,          0.00063568,          0.00063568
                   9,            0.051031,           0.0021765,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00062839,          0.00062839,          0.00062839
                   9,            0.051031,           0.0021765,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00062839,          0.00062839,          0.00062839
                  10,            0.049711,           0.0020795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00062022,          0.00062022,          0.00062022
                  10,            0.049711,           0.0020795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00062022,          0.00062022,          0.00062022
                  11,            0.049473,           0.0020658,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00061119,          0.00061119,          0.00061119
                  11,            0.049473,           0.0020658,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00061119,          0.00061119,          0.00061119
                  12,            0.049661,           0.0020288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00060135,          0.00060135,          0.00060135
                  12,            0.049661,           0.0020288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00060135,          0.00060135,          0.00060135
                  13,            0.048553,           0.0019331,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00059074,          0.00059074,          0.00059074
                  13,            0.048553,           0.0019331,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00059074,          0.00059074,          0.00059074
                  14,            0.048043,           0.0019026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00057939,          0.00057939,          0.00057939
                  14,            0.048043,           0.0019026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00057939,          0.00057939,          0.00057939
                  15,            0.047232,           0.0019033,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00056734,          0.00056734,          0.00056734
                  15,            0.047232,           0.0019033,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00056734,          0.00056734,          0.00056734
                  16,            0.047892,           0.0018728,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00055466,          0.00055466,          0.00055466
                  16,            0.047892,           0.0018728,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00055466,          0.00055466,          0.00055466
                  17,            0.047441,           0.0018248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00054138,          0.00054138,          0.00054138
                  17,            0.047441,           0.0018248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00054138,          0.00054138,          0.00054138
                  18,            0.047168,           0.0018329,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052756,          0.00052756,          0.00052756
                  18,            0.047168,           0.0018329,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052756,          0.00052756,          0.00052756
                  19,            0.047211,           0.0018576,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00051326,          0.00051326,          0.00051326
                  19,            0.047211,           0.0018576,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00051326,          0.00051326,          0.00051326
                  20,            0.046004,           0.0017795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00049853,          0.00049853,          0.00049853
                  20,            0.046004,           0.0017795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00049853,          0.00049853,          0.00049853
                  21,            0.046006,           0.0017057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00048342,          0.00048342,          0.00048342
                  21,            0.046006,           0.0017057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00048342,          0.00048342,          0.00048342
                  22,            0.045242,           0.0018102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000468,            0.000468,            0.000468
                  22,            0.045242,           0.0018102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000468,            0.000468,            0.000468
                  23,            0.044964,           0.0017264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00045234,          0.00045234,          0.00045234
                  23,            0.044964,           0.0017264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00045234,          0.00045234,          0.00045234
                  24,            0.044981,           0.0017509,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00043648,          0.00043648,          0.00043648
                  24,            0.044981,           0.0017509,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00043648,          0.00043648,          0.00043648
                  25,            0.044665,           0.0017673,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004205,           0.0004205,           0.0004205
                  25,            0.044665,           0.0017673,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0004205,           0.0004205,           0.0004205
                  26,             0.04491,           0.0016963,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00040445,          0.00040445,          0.00040445
                  26,             0.04491,           0.0016963,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00040445,          0.00040445,          0.00040445
                  27,            0.044811,           0.0017544,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038841,          0.00038841,          0.00038841
                  27,            0.044811,           0.0017544,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038841,          0.00038841,          0.00038841
                  28,            0.043763,           0.0016839,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00037242,          0.00037242,          0.00037242
                  28,            0.043763,           0.0016839,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00037242,          0.00037242,          0.00037242
                  29,            0.043855,           0.0016891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00035657,          0.00035657,          0.00035657
                  29,            0.043855,           0.0016891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00035657,          0.00035657,          0.00035657
                  30,            0.044399,           0.0017097,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003409,           0.0003409,           0.0003409
                  30,            0.044399,           0.0017097,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003409,           0.0003409,           0.0003409
                  31,            0.042311,           0.0016842,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00032548,          0.00032548,          0.00032548
                  31,            0.042311,           0.0016842,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00032548,          0.00032548,          0.00032548
                  32,            0.042231,           0.0016766,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00031038,          0.00031038,          0.00031038
                  32,            0.042231,           0.0016766,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00031038,          0.00031038,          0.00031038
                  33,            0.042156,           0.0016893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00029564,          0.00029564,          0.00029564
                  33,            0.042156,           0.0016893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00029564,          0.00029564,          0.00029564
                  34,            0.041555,            0.001662,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028134,          0.00028134,          0.00028134
                  34,            0.041555,            0.001662,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00028134,          0.00028134,          0.00028134
                  35,            0.041022,           0.0016265,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00026752,          0.00026752,          0.00026752
                  35,            0.041022,           0.0016265,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00026752,          0.00026752,          0.00026752
                  36,            0.040748,           0.0016376,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00025424,          0.00025424,          0.00025424
                  36,            0.040748,           0.0016376,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00025424,          0.00025424,          0.00025424
                  37,             0.04112,           0.0016258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00024156,          0.00024156,          0.00024156
                  37,             0.04112,           0.0016258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00024156,          0.00024156,          0.00024156
                  38,            0.040595,           0.0016085,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022952,          0.00022952,          0.00022952
                  38,            0.040595,           0.0016085,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00022952,          0.00022952,          0.00022952
                  39,            0.040322,           0.0016369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00021816,          0.00021816,          0.00021816
                  39,            0.040322,           0.0016369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00021816,          0.00021816,          0.00021816
                  40,            0.039466,           0.0015593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00020755,          0.00020755,          0.00020755
                  40,            0.039466,           0.0015593,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00020755,          0.00020755,          0.00020755
                  41,            0.039418,           0.0015929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00019771,          0.00019771,          0.00019771
                  41,            0.039418,           0.0015929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00019771,          0.00019771,          0.00019771
                  42,             0.03918,           0.0015688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00018868,          0.00018868,          0.00018868
                  42,             0.03918,           0.0015688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00018868,          0.00018868,          0.00018868
                  43,            0.038901,           0.0015666,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00018051,          0.00018051,          0.00018051
                  43,            0.038901,           0.0015666,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00018051,          0.00018051,          0.00018051
                  44,            0.039481,           0.0015713,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00017322,          0.00017322,          0.00017322
                  44,            0.039481,           0.0015713,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00017322,          0.00017322,          0.00017322
                  45,             0.03899,           0.0015595,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016685,          0.00016685,          0.00016685
                  45,             0.03899,           0.0015595,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016685,          0.00016685,          0.00016685
                  46,            0.039072,           0.0015886,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00016141,          0.00016141,          0.00016141
