               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069939,           0.0027455,                   0,            0.020095,             0.37071,            0.013025,           0.0024078,            0.060732,           0.0019518,                   0,          0.00014902,          0.00014902,            0.097279
                   1,            0.055161,           0.0027069,                   0,             0.29341,             0.35193,             0.22967,            0.061992,            0.050762,           0.0017428,                   0,          0.00029812,          0.00029812,            0.067887
                   2,            0.051142,           0.0025007,                   0,             0.45157,             0.50534,             0.40721,             0.11781,             0.04724,           0.0015525,                   0,          0.00044633,          0.00044633,            0.038495
                   3,             0.04818,           0.0022428,                   0,             0.11104,             0.50644,            0.083063,            0.025882,            0.044893,           0.0017041,                   0,            0.000593,            0.000593,           0.0091016
                   4,            0.047238,           0.0021123,                   0,             0.46114,             0.48498,             0.33291,             0.11769,            0.044396,           0.0014066,                   0,          0.00063241,          0.00063241,          0.00063241
                   5,            0.046169,            0.001919,                   0,             0.37121,              0.4721,             0.30374,             0.11227,            0.043409,           0.0012379,                   0,          0.00063241,          0.00063241,          0.00063241
                   6,            0.045877,           0.0018643,                   0,             0.39057,             0.62162,             0.33011,             0.12907,            0.042312,           0.0011692,                   0,          0.00062818,          0.00062818,          0.00062818
                   7,             0.04498,           0.0018768,                   0,             0.54812,              0.5794,             0.53597,             0.23294,            0.041276,           0.0011847,                   0,          0.00062304,          0.00062304,          0.00062304
                   8,            0.043717,           0.0018097,                   0,             0.60063,             0.56157,             0.52844,             0.21417,            0.041391,           0.0011197,                   0,          0.00061701,          0.00061701,          0.00061701
                   9,            0.043523,           0.0017745,                   0,             0.20304,             0.62661,              0.1781,            0.067403,            0.041995,           0.0012798,                   0,          0.00061012,          0.00061012,          0.00061012
                  10,            0.042912,           0.0016955,                   0,             0.17756,             0.59227,             0.15177,            0.059076,            0.042478,            0.001641,                   0,           0.0006024,           0.0006024,           0.0006024
                  11,            0.042638,           0.0017065,                   0,             0.12374,             0.61803,             0.10716,            0.039519,            0.042157,           0.0020459,                   0,          0.00059387,          0.00059387,          0.00059387
                  12,            0.041852,           0.0016499,                   0,             0.51356,              0.6309,             0.43414,             0.16591,            0.043109,           0.0010108,                   0,          0.00058457,          0.00058457,          0.00058457
                  13,            0.042099,           0.0016646,                   0,             0.60844,             0.61373,             0.54719,              0.2105,              0.0406,           0.0010012,                   0,          0.00057453,          0.00057453,          0.00057453
                  14,            0.041069,           0.0016724,                   0,             0.20345,             0.66953,             0.17342,            0.065655,            0.042563,           0.0016373,                   0,           0.0005638,           0.0005638,           0.0005638
                  15,            0.041531,           0.0016447,                   0,              0.4555,             0.66094,             0.39259,             0.15862,            0.041758,           0.0011165,                   0,          0.00055242,          0.00055242,          0.00055242
                  16,             0.04073,           0.0016079,                   0,             0.64808,             0.58798,             0.52568,             0.20832,            0.041856,           0.0010445,                   0,          0.00054043,          0.00054043,          0.00054043
                  17,            0.040944,            0.001643,                   0,            0.047421,             0.67811,            0.044397,            0.014619,            0.043001,           0.0096631,                   0,          0.00052788,          0.00052788,          0.00052788
                  18,            0.040297,           0.0015385,                   0,             0.27174,             0.66094,             0.23743,              0.0908,            0.039934,           0.0016803,                   0,          0.00051482,          0.00051482,          0.00051482
                  19,            0.040874,           0.0016561,                   0,             0.48978,             0.61803,             0.40786,              0.1538,            0.042841,          0.00098962,                   0,           0.0005013,           0.0005013,           0.0005013
                  20,            0.039974,           0.0016033,                   0,              0.5115,             0.55276,             0.39468,             0.15718,            0.042814,           0.0010691,                   0,          0.00048737,          0.00048737,          0.00048737
                  21,            0.039802,            0.001546,                   0,             0.39482,              0.6216,             0.33572,             0.12726,            0.041214,           0.0011915,                   0,          0.00047309,          0.00047309,          0.00047309
                  22,            0.039325,           0.0015795,                   0,             0.46847,             0.61803,             0.37817,             0.15194,            0.040768,           0.0011883,                   0,          0.00045852,          0.00045852,          0.00045852
