               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081392,           0.0023592,                   0,             0.21459,             0.32618,             0.15038,            0.035744,            0.062746,           0.0018012,                   0,            0.000246,            0.000246,            0.075646
                   1,            0.063707,           0.0024128,                   0,             0.43923,             0.39056,             0.33643,            0.099617,            0.054389,            0.001558,                   0,           0.0004929,           0.0004929,            0.051193
                   2,            0.057767,           0.0021806,                   0,             0.54663,              0.5279,             0.47461,             0.16394,            0.052761,           0.0013636,                   0,          0.00073942,          0.00073942,            0.026739
                   3,            0.056622,           0.0020123,                   0,             0.53463,             0.56223,             0.45997,             0.17375,            0.051319,           0.0012628,                   0,          0.00098525,          0.00098525,           0.0022852
                   4,             0.05508,           0.0018281,                   0,             0.54846,             0.47639,              0.4498,             0.16219,            0.051451,           0.0011888,                   0,          0.00099685,          0.00099685,          0.00099685
                   5,            0.055093,           0.0018268,                   0,             0.44866,             0.55794,             0.41913,             0.13961,            0.051204,           0.0011175,                   0,          0.00099685,          0.00099685,          0.00099685
                   6,            0.054403,            0.001679,                   0,             0.56011,             0.54506,              0.5312,             0.20892,            0.050236,           0.0011204,                   0,          0.00099508,          0.00099508,          0.00099508
                   7,            0.052076,           0.0016592,                   0,             0.42196,             0.57511,              0.4308,             0.16263,            0.050185,           0.0010861,                   0,          0.00099291,          0.00099291,          0.00099291
                   8,            0.052276,           0.0016614,                   0,             0.56675,             0.57082,              0.4572,             0.17386,             0.05027,           0.0010501,                   0,          0.00099037,          0.00099037,          0.00099037
                   9,            0.051156,           0.0016183,                   0,             0.41667,             0.58369,             0.38169,             0.15352,            0.048327,           0.0010736,                   0,          0.00098743,          0.00098743,          0.00098743
                  10,            0.050763,           0.0016117,                   0,             0.60685,             0.58798,             0.51463,             0.21155,            0.048984,           0.0010128,                   0,          0.00098412,          0.00098412,          0.00098412
                  11,            0.049698,           0.0016029,                   0,             0.58342,             0.59657,             0.57845,             0.21649,            0.047898,          0.00094039,                   0,          0.00098042,          0.00098042,          0.00098042
                  12,            0.049742,           0.0015325,                   0,             0.60916,             0.55794,             0.52705,             0.20652,            0.047368,          0.00096854,                   0,          0.00097635,          0.00097635,          0.00097635
                  13,             0.04942,           0.0015554,                   0,             0.61836,             0.66063,             0.55733,             0.22508,            0.046824,           0.0009345,                   0,          0.00097191,          0.00097191,          0.00097191
                  14,            0.049067,           0.0015283,                   0,              0.5685,             0.60086,              0.5193,             0.20262,             0.04988,          0.00090192,                   0,           0.0009671,           0.0009671,           0.0009671
                  15,             0.04915,            0.001477,                   0,             0.62384,             0.61373,             0.56227,             0.24732,            0.045733,          0.00093682,                   0,          0.00096193,          0.00096193,          0.00096193
                  16,            0.048167,            0.001462,                   0,             0.61581,             0.56652,             0.52317,             0.19381,            0.048917,          0.00091219,                   0,           0.0009564,           0.0009564,           0.0009564
                  17,            0.048532,           0.0014937,                   0,              0.6213,             0.66953,             0.60611,             0.25391,            0.045748,          0.00090391,                   0,          0.00095052,          0.00095052,          0.00095052
                  18,            0.047585,           0.0014632,                   0,             0.70046,             0.62226,             0.60082,             0.24173,             0.04649,          0.00093108,                   0,           0.0009443,           0.0009443,           0.0009443
